Pressure(bar),Uptake(mmol/g)
0.004329,0.000000
0.030303,0.065285
0.047619,0.093264
0.060606,0.121244
0.073593,0.158549
0.086580,0.186528
0.103896,0.223834
0.116883,0.251813
0.134199,0.289119
0.147186,0.317098
0.164502,0.354404
0.190476,0.410363
0.212121,0.466321
0.238095,0.522280
0.268398,0.578238
0.294372,0.624870
0.316017,0.680829
0.346320,0.727461
0.367965,0.783420
0.393939,0.830052
0.424242,0.876684
0.445887,0.923316
0.471861,0.969948
0.497835,1.007254
0.523810,1.053886
0.554113,1.100518
0.580087,1.147150
0.601732,1.184456
0.632035,1.231088
0.653680,1.268394
0.683983,1.305699
0.709957,1.343005
0.740260,1.380311
0.761905,1.417617
0.796537,1.454922
0.813853,1.492228
0.844156,1.520207
0.870130,1.557513
0.896104,1.594819
0.922078,1.622798
0.948052,1.660104
0.969697,1.688083
1.000000,1.725389
1.025974,1.753368
