Pressure(bar),Uptake(mmol/g)
0.004329,0.000000
0.021645,0.009326
0.047619,0.009326
0.069264,0.018653
0.095238,0.018653
0.116883,0.018653
0.138528,0.018653
0.160173,0.027979
0.181818,0.027979
0.207792,0.027979
0.225108,0.037306
0.238095,0.037306
0.259740,0.037306
0.285714,0.046632
0.316017,0.055959
0.337662,0.055959
0.363636,0.065285
0.389610,0.055959
0.415584,0.065285
0.445887,0.065285
0.476190,0.074611
0.502165,0.074611
0.523810,0.074611
0.545455,0.074611
0.571429,0.083938
0.601732,0.074611
0.627706,0.083938
0.658009,0.083938
0.683983,0.083938
0.709957,0.093264
0.740260,0.093264
0.766234,0.093264
0.792208,0.093264
0.813853,0.093264
0.844156,0.093264
0.865801,0.093264
0.891775,0.093264
0.904762,0.093264
0.922078,0.093264
0.939394,0.102591
0.969697,0.093264
0.995671,0.093264
1.021645,0.093264
